,36,39,41,46,50,54,58,59,60,62,63,67,70,73
filed,2019-01-31,2024-02-02,2019-01-31,2020-01-30,2021-01-28,2022-02-03,2023-02-02,2025-01-30,2023-02-02,2024-02-02,2024-02-02,2024-02-02,2025-01-30,2025-01-30
company_name,"Meta Platforms, Inc.","Meta Platforms, Inc.","Meta Platforms, Inc.","Meta Platforms, Inc.","Meta Platforms, Inc.","Meta Platforms, Inc.","Meta Platforms, Inc.","Meta Platforms, Inc.","Meta Platforms, Inc.","Meta Platforms, Inc.","Meta Platforms, Inc.","Meta Platforms, Inc.","Meta Platforms, Inc.","Meta Platforms, Inc."
end,2018-04-30,2018-07-27,2018-12-31,2019-12-31,2020-12-31,2021-12-31,2022-11-30,2022-12-22,2022-12-31,2023-01-31,2023-03-01,2023-12-31,2024-06-24,2024-12-31
unit,USD,claim,USD,USD,USD,USD,employee,USD,USD,USD,shares,USD,appeal,USD
form,10-K,10-K,10-K,10-K,10-K,10-K,10-K,10-K,10-K,10-K,10-K,10-K,10-K,10-K
frame,CY2018Q1I,CY2018Q2I,CY2018,CY2019,CY2020,CY2021,CY2022Q4I,CY2022Q4I,CY2022,CY2022Q4I,CY2023Q1I,CY2023,CY2024Q2I,CY2024
cik,1326801,1326801,1326801,1326801,1326801,1326801,1326801,1326801,1326801,1326801,1326801,1326801,1326801,1326801
Assets - Cash and Cash Equivalents,,,10019000000.0,19079000000.0,17576000000.0,16601000000.0,,,14681000000.0,,,41862000000.0,,43889000000.0
Assets - Short-term Investments,,,,,,31397000000.0,,,26057000000.0,,,23541000000.0,,33926000000.0
"Assets - Accounts Receivable, Net (Current)",,,7587000000.0,9518000000.0,11335000000.0,14039000000.0,,,13466000000.0,,,16169000000.0,,16994000000.0
Assets - Other Current Assets,,,1779000000.0,1852000000.0,2381000000.0,4629000000.0,,,5345000000.0,,,3793000000.0,,5236000000.0
Assets - Total Current Assets,,,50480000000.0,66225000000.0,75670000000.0,66666000000.0,,,59549000000.0,,,85365000000.0,,100045000000.0
"Assets - Property, Plant and Equipment, Net",,,24683000000.0,35323000000.0,,,,,,,,,,
Assets - Goodwill,,,18301000000.0,18715000000.0,19050000000.0,19197000000.0,,,20306000000.0,,,20654000000.0,,20654000000.0
"Assets - Intangible Assets, Net",,,1294000000.0,894000000.0,623000000.0,634000000.0,,,897000000.0,,,788000000.0,,915000000.0
Assets - Other Long-term Assets,,,2576000000.0,2673000000.0,2758000000.0,2751000000.0,,,6583000000.0,,,7582000000.0,,13017000000.0
Assets - Total Assets,,,97334000000.0,133376000000.0,159316000000.0,165987000000.0,,,185727000000.0,,,229623000000.0,,276054000000.0
Liabilities - Accounts Payable,,,820000000.0,1363000000.0,1331000000.0,,,,,,,,,
Liabilities - Other Current Liabilities,,,1784000000.0,2327000000.0,3469000000.0,5819000000.0,,,4906000000.0,,,6369000000.0,,6074000000.0
Liabilities - Total Current Liabilities,,,7017000000.0,15053000000.0,14981000000.0,21135000000.0,,,27026000000.0,,,31960000000.0,,33596000000.0
Liabilities - Long-term Debt,,,,,,0.0,,,9923000000.0,,,18385000000.0,,28826000000.0
Liabilities - Operating Lease Liabilities (Non-current),,,0.0,9524000000.0,9631000000.0,12746000000.0,,,15301000000.0,,,17226000000.0,,18292000000.0
Liabilities - Other Long-term Liabilities,,,6190000000.0,7745000000.0,6414000000.0,7227000000.0,,,7764000000.0,,,1370000000.0,,2716000000.0
Liabilities - Total Liabilities,,,13207000000.0,32322000000.0,31026000000.0,41108000000.0,,,60014000000.0,,,76455000000.0,,93417000000.0
Equity - Common Stock and Paid-in Capital,0.0,0.0,42906000000.0,45851000000.0,50018000000.0,55811000000.0,0.0,0.0,64444000000.0,0.0,0.0,73253000000.0,0.0,83228000000.0
Equity - Retained Earnings,,,41981000000.0,55692000000.0,77345000000.0,69761000000.0,,,64799000000.0,,,82070000000.0,,102506000000.0
Equity - Accumulated Other Comprehensive Income,,,-466000000.0,-617000000.0,439000000.0,-677000000.0,,,-1860000000.0,,,-1240000000.0,,-2660000000.0
Equity - Total Stockholders' Equity,,,84127000000.0,101054000000.0,128290000000.0,124879000000.0,,,125713000000.0,,,153168000000.0,,182637000000.0
Equity - Total Liabilities and Equity,,,97334000000.0,133376000000.0,159316000000.0,165987000000.0,,,185727000000.0,,,229623000000.0,,276054000000.0
Validation - Current Assets Difference,,,41114000000.0,54855000000.0,61954000000.0,47998000000.0,,,40738000000.0,,,65403000000.0,,77815000000.0
Validation - Current Liabilities Difference,,,5233000000.0,12726000000.0,11512000000.0,15316000000.0,,,22120000000.0,,,25591000000.0,,27522000000.0
Validation - A = L+E Difference,,,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,0.0
